open_signal,open_exec,close_signal,close_exec,side,month,reason,qty,z_open,z_close,S_entry,S_exit,hold_days,rolls,pnl,mae,cost,margin,net,ret,variant,year
20210621,20210622,20210622,20210623,-1,202109,take_profit,0.8466062692288547,2.8813137260748154,0.8313124914161633,7725.0,5815.0,1,0,1617.0179742271125,0.0,127.94929868109527,15640.204217733863,1489.0686755460172,0.0952077514344484,B 波动定手数,2021
20210628,20210629,20210630,20210701,-1,202109,take_profit,0.8207328511180435,2.6655740764726397,0.791076596755885,7925.0,6255.0,2,0,1370.6238613671328,0.0,124.8646545033969,15803.867634558821,1245.759206863736,0.0788262237871187,B 波动定手数,2021
20210714,20210715,20210728,20210729,1,202109,take_profit,0.8195771621312431,-2.596460945770985,-0.5253872528956871,3545.0,3780.0,10,0,192.6006331008421,-999.8841378001166,125.14984244602188,16120.427117391848,67.45079065482021,0.004184181359689258,B 波动定手数,2021
20210730,20210802,20210809,20210810,1,202201,take_profit,0.8144303121400812,-2.8426839788481058,-0.35869537714028504,-1105.0,220.0,6,0,1079.1201635856078,-48.865818728404804,124.79474951406857,16594.832040166293,954.3254140715392,0.05750738614055753,B 波动定手数,2021
20210823,20210824,20210824,20210825,1,202201,take_profit,1.0402471877773214,-4.953353513067988,-0.8108378214323163,-5155.0,-2305.0,1,0,2964.704485165366,0.0,160.06075428892086,21231.029003660016,2804.6437308764453,0.13210116807776734,B 波动定手数,2021
20210907,20210908,20210914,20210915,1,202201,take_profit,0.8675643542779682,-3.375465849497603,-0.4825671045706435,-6525.0,-4460.0,5,0,1791.5203915840045,-451.13346422454345,134.6941376056031,18364.08171274346,1656.8262539784014,0.0902210238385442,B 波动定手数,2021
20210928,20210929,20211011,20211012,1,202201,stop_loss,0.7451916975835442,-3.0211165897996284,-4.300149238999811,-9415.0,-19185.0,4,0,-7280.522885391226,-7280.522885391226,121.06682395621294,18129.61977217053,-7401.589709347439,-0.4082595113610207,B 波动定手数,2021
20211028,20211029,20211119,20211122,-1,202201,take_profit,0.4165310129114761,2.602694107881881,0.936374844052635,4620.0,8560.0,16,0,-1641.132190871216,-3034.4284290601036,55.54524363377116,8511.228105427937,-1696.677434504987,-0.1993457834155509,B 波动定手数,2021
20211216,20211217,20211221,20211222,1,202205,take_profit,0.37104405561938686,-3.034455023509438,-0.1988802292436579,2310.0,6400.0,3,0,1517.5701874832923,0.0,41.58773088598774,7179.4798498017635,1475.9824565973047,0.20558348062472226,B 波动定手数,2021
20220307,20220308,20220425,20220426,1,202205,take_profit,0.8978056589108718,-1.772657516700988,0.03380626830170917,-4370.0,4510.0,33,1,9727.7243142993,0.0,208.82735174852152,20815.265079585,9518.896962550778,0.4573036627761533,B 波动定手数,2022
20220624,20220627,20220711,20220712,-1,202209,stop_loss,0.8623188097997408,1.5279630386365208,2.351821914938336,6650.0,9315.0,11,0,-2298.0796281163093,-2336.8839745572977,96.02997845632365,16508.403758568198,-2394.109606572633,-0.14502368863676726,B 波动定手数,2022
