date,A 固定手数,B 波动定手数,C 波动定手数+金额止损
20230630,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230703,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230704,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230705,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230706,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230707,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230710,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230711,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230712,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230713,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230714,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230717,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230718,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230719,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230720,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230721,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230724,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230725,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230726,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230727,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230728,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230731,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230801,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230802,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230803,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230804,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230807,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230808,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230809,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230810,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230811,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230814,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230815,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230816,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230817,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230818,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230821,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230822,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230823,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230824,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230825,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230828,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230829,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230830,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230831,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230901,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230904,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230905,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230906,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230907,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230908,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230911,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230912,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230913,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230914,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230915,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230918,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230919,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230920,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230921,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230922,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230925,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230926,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230927,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230928,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231009,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231010,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231011,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231012,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231013,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231016,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231017,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231018,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231019,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231020,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231023,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231024,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231025,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231026,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231027,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231030,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231031,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231101,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231102,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231103,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231106,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231107,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231108,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231109,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231110,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231113,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231114,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231115,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231116,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231117,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231120,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231121,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231122,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231123,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231124,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231127,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231128,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231129,0.9328982882730669,1.1099018656618158,0.6067204805305046
20231130,0.915014768456681,1.0834504956933066,0.5802691105619953
20231201,0.9125422398787202,1.0797933986092403,0.5766120134779289
20231204,0.9125422398787202,1.0797933986092403,0.5766120134779289
20231205,0.9125422398787202,1.0797933986092403,0.5766120134779289
20231206,0.9125422398787202,1.0797933986092403,0.5766120134779289
20231207,0.9125422398787202,1.0797933986092403,0.5766120134779289
20231208,0.9306234609956914,1.1065271176575981,0.6033457325262869
20231211,0.9427288797877369,1.1244254035563035,0.6212440184249922
20231212,0.9392904609399976,1.119341580796138,0.6161601956648267
20231213,0.9543539308241474,1.1416134488945977,0.6384320637632863
20231214,0.9545441593080495,1.1420287350640477,0.6388473499327365
20231215,0.9545441593080495,1.1682956644957236,0.6651142793644124
20231218,0.9545441593080495,1.1609882802534592,0.6578068951221481
20231219,0.9545441593080495,1.1609882802534592,0.6578068951221481
20231220,0.9545441593080495,1.1609882802534592,0.6578068951221481
20231221,0.9545441593080495,1.1609882802534592,0.6578068951221481
20231222,0.9545441593080495,1.1609882802534592,0.6578068951221481
20231225,0.9545441593080495,1.1609882802534592,0.6578068951221481
20231226,0.9545441593080495,1.1609882802534592,0.6578068951221481
20231227,0.9545441593080495,1.1609882802534592,0.6578068951221481
20231228,0.9545441593080495,1.1609882802534592,0.6578068951221481
20231229,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240102,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240103,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240104,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240105,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240108,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240109,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240110,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240111,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240112,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240115,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240116,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240117,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240118,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240119,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240122,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240123,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240124,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240125,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240126,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240129,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240130,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240131,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240201,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240202,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240205,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240206,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240207,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240208,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240219,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240220,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240221,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240222,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240223,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240226,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240227,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240228,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240229,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240301,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240304,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240305,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240306,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240307,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240308,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240311,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240312,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240313,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240314,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240315,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240318,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240319,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240320,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240321,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240322,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240325,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240326,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240327,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240328,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240329,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240401,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240402,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240403,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240408,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240409,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240410,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240411,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240412,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240415,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240416,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240417,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240418,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240419,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240422,0.9545441593080495,1.1609882802534592,0.6578068951221481
